iter	RMSE
205	4.985693186
206	4.981379249
207	4.978747511
208	4.977941896
209	4.973924475
210	4.971776644
211	4.967589527
212	4.963440452
213	4.962111033
214	4.959043411
215	4.95343061
216	4.950927876
217	4.948942779
218	4.945823426
219	4.942320091
220	4.940019905
221	4.938915641
222	4.93676983
223	4.933318097
224	4.930232181
225	4.926981482
226	4.921471954
227	4.920570392
228	4.918985705
229	4.918056977
230	4.917122087
231	4.912769767
232	4.909802934
233	4.908059049
234	4.906166665
235	4.904366164
236	4.900703645
237	4.896741024
238	4.892098318
239	4.888916818
240	4.886058696
241	4.883155
242	4.880541073
243	4.879317602
244	4.876747171
245	4.875955554
246	4.872441574
247	4.870338585
248	4.867663827
249	4.866024342
250	4.860906059
251	4.859047782
252	4.857340876
253	4.854034478
254	4.852694506
255	4.851855627
256	4.85090568
257	4.848697726
258	4.846238716
259	4.844718173
260	4.842082332
261	4.840770694
262	4.839512786
263	4.837135622
264	4.835086611
265	4.831264603
266	4.82858552
267	4.826372182
268	4.825003039
269	4.823364181
270	4.821473646
271	4.81973392
272	4.817855304
273	4.816253869
274	4.813105503
275	4.810221633
276	4.807462771
277	4.804620463
278	4.804222081
279	4.803096823
280	4.801862441
281	4.799673961
282	4.79867728
283	4.79798777
284	4.79658837
285	4.79483901
286	4.793601293
287	4.792423531
288	4.788978703
289	4.785486022
290	4.784974215
291	4.781529639
292	4.778852507
293	4.77830234
294	4.774923208
295	4.77145238
296	4.768083645
297	4.766142084
298	4.765911992
299	4.763502971
300	4.762861916
301	4.761939803
302	4.760735437
303	4.758055123
304	4.75542367
305	4.754080593
306	4.753637798
307	4.752516213
308	4.750263497
309	4.747751402
310	4.746587978
311	4.744223682
312	4.743618851
313	4.741471679
314	4.740284933
315	4.738408988
316	4.737195888
317	4.734228773
318	4.732249582
319	4.728214095
320	4.727650433
321	4.725065875
322	4.724796972
323	4.722671382
324	4.721597226
325	4.719900986
326	4.717251823
327	4.714161371
328	4.712524337
329	4.711610061
330	4.708678427
331	4.707922259
332	4.706866161
333	4.704428755
334	4.704226862
335	4.704082281
336	4.701479399
337	4.6987497
338	4.697720223
339	4.696868121
340	4.695864216
341	4.695219523
342	4.694887235
343	4.692213325
344	4.68888612
345	4.685969611
346	4.68521072
347	4.684386455
348	4.683628217
349	4.681906426
350	4.681597235
351	4.679464897
352	4.678877428
353	4.676613131
354	4.674528933
355	4.67114323
356	4.670893779
357	4.66777386
358	4.665483801
359	4.665060607
360	4.662270262
361	4.659994261
362	4.655527539
363	4.653360255
364	4.651007438
365	4.649384763
366	4.646448746
367	4.644031964
368	4.642100534
369	4.641960228
370	4.639745512
371	4.639577709
372	4.637698014
373	4.635962553
374	4.634735942
375	4.634467784
376	4.633343106
377	4.631720334
378	4.629760186
379	4.627917203
380	4.627474513
381	4.62731592
382	4.626881512
383	4.626353861
384	4.625521472
385	4.623856996
386	4.622736411
387	4.62101116
388	4.61818719
389	4.617278208
390	4.614952099
391	4.613965221
392	4.610819668
393	4.608844108
394	4.606598769
395	4.603399278
396	4.602481426
397	4.600981987
398	4.599761196
399	4.597166464
400	4.595285244
401	4.591091812
402	4.588790294
403	4.586908363
404	4.586542855
405	4.58564833
406	4.583546303
407	4.580885189
408	4.579506381
409	4.577180507
410	4.575238017
411	4.574279475
412	4.573285848
413	4.572975223
414	4.572078215
415	4.570281986
416	4.568343181
417	4.566317088
418	4.565003711
419	4.564784163
420	4.562872102
421	4.560771862
422	4.559230661
423	4.558512471
424	4.556145922
425	4.552154166
426	4.551392525
427	4.549932631
428	4.548346011
429	4.546642075
430	4.545864922
431	4.544461856
432	4.543735078
433	4.543354028
434	4.542257178
435	4.541499769
436	4.539517086
437	4.537168417
438	4.536320985
439	4.534666503
440	4.533209617
441	4.531191855
442	4.530251263
443	4.529410867
444	4.5276802
445	4.526139903
446	4.522788355
447	4.522317336
448	4.521526598
449	4.519811753
450	4.516572896
451	4.516327787
452	4.516029451
453	4.514998943
454	4.51464117
455	4.513940151
456	4.511395469
457	4.510835356
458	4.51022596
459	4.508951646
460	4.506733258
461	4.504816846
462	4.504516675
463	4.503633797
464	4.503290909
465	4.502358582
466	4.50042727
467	4.499933359
468	4.499057614
469	4.496988053
470	4.495040326
471	4.494631873
472	4.492920766
473	4.491966958
474	4.490472236
475	4.489234114
476	4.488108181
477	4.486065622
478	4.484408838
479	4.483392831
480	4.481320057
481	4.480154145
482	4.479443444
483	4.477175774
484	4.476511541
485	4.475172945
486	4.474564251
487	4.473589498
488	4.472469911
489	4.46885231
490	4.467082435
491	4.466700863
492	4.465493882
493	4.465251736
494	4.465078579
495	4.464895725
496	4.463993804
497	4.461965818
498	4.460512016
499	4.459867711
